round,attack,fn,tx_ok,revert_substring_present,revert_reason_hash,revert_reason_length
A,01_outsider_create_card,createModelCard,False,True,3dda3512726441844314cb80e80a26a6f1092482bd65610492d68ad89694bf35,200
A,02_reviewer_create_card,createModelCard,False,True,32da1392e454aed6fdf6aa77ed40634d590d10ba226336fbc8e3ce25af925a08,200
A,03_publisher_validate,validateModelCard,False,True,9e6ffad7ea0925a34964e8d80744946f94f67534818288d9cf978907a8768fac,200
A,04_outsider_reject,rejectModelCard,False,True,60a5552a1318128e1b79201767c6a6f583889961e1ced0e7517e6c9586bcb2ec,200
A,05_outsider_publish,publishModelCard,False,True,b8ad4b7c5fd38ab5a1755eebf054beceef3b26e18ce43f90105a60910025bfd1,200
A,06_reviewer_deprecate,deprecateModelCard,False,True,9309699f0640c5a41a62c60ebfd5085c43ae68513b44ffcd722a6f3149982318,200
A,07_outsider_grantRole,grantRole,False,True,2577daa822b4e0f3865fa398fbcbe700ca4bad69018f05c97514cae5fad0b47c,200
A,08_outsider_setIdentityReg,setIdentityRegistry,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
A,09_outsider_setLineageRegs,setLineageRegistries,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
A,10_outsider_setChallengeWin,setChallengeWindowSeconds,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
A,11_outsider_setStrictMode,setStrictMode,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
A,12_outsider_emergencyPublish,adminEmergencyPublish,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
B,01_outsider_create_card,createModelCard,False,True,3dda3512726441844314cb80e80a26a6f1092482bd65610492d68ad89694bf35,200
B,02_reviewer_create_card,createModelCard,False,True,32da1392e454aed6fdf6aa77ed40634d590d10ba226336fbc8e3ce25af925a08,200
B,03_publisher_validate,validateModelCard,False,True,9e6ffad7ea0925a34964e8d80744946f94f67534818288d9cf978907a8768fac,200
B,04_outsider_reject,rejectModelCard,False,True,60a5552a1318128e1b79201767c6a6f583889961e1ced0e7517e6c9586bcb2ec,200
B,05_outsider_publish,publishModelCard,False,True,b8ad4b7c5fd38ab5a1755eebf054beceef3b26e18ce43f90105a60910025bfd1,200
B,06_reviewer_deprecate,deprecateModelCard,False,True,9309699f0640c5a41a62c60ebfd5085c43ae68513b44ffcd722a6f3149982318,200
B,07_outsider_grantRole,grantRole,False,True,2577daa822b4e0f3865fa398fbcbe700ca4bad69018f05c97514cae5fad0b47c,200
B,08_outsider_setIdentityReg,setIdentityRegistry,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
B,09_outsider_setLineageRegs,setLineageRegistries,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
B,10_outsider_setChallengeWin,setChallengeWindowSeconds,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
B,11_outsider_setStrictMode,setStrictMode,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
B,12_outsider_emergencyPublish,adminEmergencyPublish,False,True,93cb295ad9f90de9546acc3c15756c93749a2bf695c4731b060d43843a357bf5,200
