attack,fn,attacker,attacker_eoa,role_guard,tx_ok,gas_used,revert_reason,revert_match,verdict
01_outsider_create_card,createModelCard,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEVELOPER_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0x4504b9df",True,PASS
02_reviewer_create_card,createModelCard,rev_a,0x90F79bf6EB2c4f870365E785982E1f101E93b906,DEVELOPER_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0x90f79bf6eb2c4f870365e785982e1f101e93b906 is missing role 0x4504b9df",True,PASS
03_publisher_validate,validateModelCard,pub_a,0x976EA74026E726554dB657fA54763abd0C3a0aa9,AUTHENTICATOR_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0x976ea74026e726554db657fa54763abd0c3a0aa9 is missing role 0x190acb99",True,PASS
04_outsider_reject,rejectModelCard,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,AUTHENTICATOR_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0x190acb99",True,PASS
05_outsider_publish,publishModelCard,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,PUBLISHER_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0x0ac90c25",True,PASS
06_reviewer_deprecate,deprecateModelCard,rev_b,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,PUBLISHER_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0x15d34aaf54267db7d7c367839aaf71a00a2c6a65 is missing role 0x0ac90c25",True,PASS
07_outsider_grantRole,grantRole,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEFAULT_ADMIN_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0x00000000",True,PASS
08_outsider_setIdentityReg,setIdentityRegistry,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEFAULT_ADMIN_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa4980720",True,PASS
09_outsider_setLineageRegs,setLineageRegistries,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEFAULT_ADMIN_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa4980720",True,PASS
10_outsider_setChallengeWin,setChallengeWindowSeconds,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEFAULT_ADMIN_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa4980720",True,PASS
11_outsider_setStrictMode,setStrictMode,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,ADMIN_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa4980720",True,PASS
12_outsider_emergencyPublish,adminEmergencyPublish,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,ADMIN_ROLE,False,,"{'code': -32603, 'message': ""Error: VM Exception while processing transaction: reverted with reason string 'AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa4980720",True,PASS
