action,actor_type,size_kb,rep,gas_used,gas_floor,ratio
baseline_tick,direct_eoa,,0,26149,,
baseline_tick,direct_eoa,,1,26149,,
baseline_tick,direct_eoa,,2,26149,,
create,direct_eoa,1,0,558703,26149,21.366132548089794
create,direct_eoa,1,1,558703,26149,21.366132548089794
create,direct_eoa,1,2,558703,26149,21.366132548089794
submit,direct_eoa,1,0,355240,26149,13.5852231442885
submit,direct_eoa,1,1,355240,26149,13.5852231442885
submit,direct_eoa,1,2,355240,26149,13.5852231442885
validate,direct_eoa,1,0,324446,26149,12.40758728823282
validate,direct_eoa,1,1,324446,26149,12.40758728823282
validate,direct_eoa,1,2,324446,26149,12.40758728823282
request_revision,direct_eoa,1,0,348285,26149,13.319247389957551
request_revision,direct_eoa,1,1,348285,26149,13.319247389957551
request_revision,direct_eoa,1,2,348285,26149,13.319247389957551
revise,direct_eoa,1,0,573838,26149,21.94493097250373
revise,direct_eoa,1,1,573826,26149,21.94447206394126
revise,direct_eoa,1,2,573838,26149,21.94493097250373
publish,direct_eoa,1,0,583707,26149,22.322345022754217
publish,direct_eoa,1,1,583707,26149,22.322345022754217
publish,direct_eoa,1,2,583707,26149,22.322345022754217
deprecate,direct_eoa,1,0,350114,26149,13.389192703353856
deprecate,direct_eoa,1,1,350114,26149,13.389192703353856
deprecate,direct_eoa,1,2,350114,26149,13.389192703353856
challenge,direct_eoa,1,0,59715,26149,2.283643733986003
challenge,direct_eoa,1,1,59715,26149,2.283643733986003
challenge,direct_eoa,1,2,59715,26149,2.283643733986003
create_size,direct_eoa,1,0,1317734,26149,50.39328463803587
create_size,direct_eoa,1,1,1317734,26149,50.39328463803587
create_size,direct_eoa,1,2,1317734,26149,50.39328463803587
create_size,direct_eoa,10,0,7949877,26149,304.02221882289956
create_size,direct_eoa,10,1,7949877,26149,304.02221882289956
create_size,direct_eoa,10,2,7949877,26149,304.02221882289956
create_size,direct_eoa,100,0,0,26149,0.0
create_size,direct_eoa,100,1,0,26149,0.0
create_size,direct_eoa,100,2,0,26149,0.0
create_size,direct_eoa,250,0,0,26149,0.0
create_size,direct_eoa,250,1,0,26149,0.0
create_size,direct_eoa,250,2,0,26149,0.0
