sweep,point,rep,latency_s
card_count,0,0,0.02358300000014424
card_count,0,1,0.04017766600009054
card_count,0,2,0.02748254200014344
card_count,10,0,0.05020387500007928
card_count,10,1,0.021590166999885696
card_count,10,2,0.02272512500076118
card_count,25,0,0.017865583000457264
card_count,25,1,0.01914054199914972
card_count,25,2,0.018029708000540268
card_count,50,0,0.016992667000522488
card_count,50,1,0.018713208000008308
card_count,50,2,0.017066958000214072
card_count,100,0,0.021424124999612104
card_count,100,1,0.028350708999823837
card_count,100,2,0.02238412499991682
actions_per_card_read,0,0,0.005941874999734864
actions_per_card_read,0,1,0.0050735000004351605
actions_per_card_read,0,2,0.004964249999829917
actions_per_card_read,10,0,0.010290291999808687
actions_per_card_read,10,1,0.013136957999449805
actions_per_card_read,10,2,0.013477290999617253
actions_per_card_read,25,0,0.011314043000311358
actions_per_card_read,25,1,0.010901832999479666
actions_per_card_read,25,2,0.010879999999815482
actions_per_card_read,50,0,0.010469541998645582
actions_per_card_read,50,1,0.010042124999927182
actions_per_card_read,50,2,0.009956707999663195
actions_per_card_read,100,0,0.01035225099985837
actions_per_card_read,100,1,0.010052750999420823
actions_per_card_read,100,2,0.01033220899898879
