seed,shape,token_id,v2_token_id,Q1_pass,Q1_truth,Q1_recovered,Q2_pass,Q2_truth,Q2_recovered,Q3_pass,Q3_truth,Q3_recovered,Q4_pass,Q4_truth,Q4_recovered,Q5_pass,Q5_truth,Q5_recovered,Q6_pass,Q6_truth_validator,Q6_recovered_validator,all_six_pass
20260504,simple,5673,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260505,simple,5674,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260506,simple,5675,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260507,simple,5676,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260508,simple,5677,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260509,simple,5678,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260510,simple,5679,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260511,simple,5680,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260512,simple,5681,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260513,simple,5682,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260514,simple,5683,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260515,simple,5684,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260516,simple,5685,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260517,simple,5686,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260518,simple,5687,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260519,simple,5688,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260520,simple,5689,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260521,simple,5690,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260522,simple,5691,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260523,simple,5692,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260524,simple,5693,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260525,simple,5694,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260526,simple,5695,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260527,simple,5696,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
20260528,simple,5697,,True,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,0x70997970C51812dc3A010C7d01b50e0d17dc79C8,True,Created|InEvaluation|Validated|Published,Created|InEvaluation|Validated|Published,True,,,True,0,0,True,,,True,0x90F79bf6EB2c4f870365E785982E1f101E93b906,0x90F79bf6EB2c4f870365E785982E1f101E93b906,True
