attack,fn,attacker,attacker_eoa,role_guard,tx_ok,revert_reason,verdict,note
01_outsider_create_card,createModelCard,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEVELOPER_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0x4504b9dfd7400a1522f49a8b4a100552da9236849581fd59b7363eb48c6a474c | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
02_reviewer_create_card,createModelCard,rev_a,0x90F79bf6EB2c4f870365E785982E1f101E93b906,DEVELOPER_ROLE,False,execution reverted: AccessControl: account 0x90f79bf6eb2c4f870365e785982e1f101e93b906 is missing role 0x4504b9dfd7400a1522f49a8b4a100552da9236849581fd59b7363eb48c6a474c | execution reverted: AccessControl: account 0x90f79bf6eb2c4f870365e785,PASS,
03_publisher_validate,validateModelCard,pub_a,0x976EA74026E726554dB657fA54763abd0C3a0aa9,AUTHENTICATOR_ROLE,False,execution reverted: AccessControl: account 0x976ea74026e726554db657fa54763abd0c3a0aa9 is missing role 0x190acb99f29d9641c9ad47655049f2d7c78fcbc837d62e7981d28c871f722081 | execution reverted: AccessControl: account 0x976ea74026e726554db657fa,PASS,
04_outsider_reject,rejectModelCard,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,AUTHENTICATOR_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0x190acb99f29d9641c9ad47655049f2d7c78fcbc837d62e7981d28c871f722081 | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
05_outsider_publish,publishModelCard,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,PUBLISHER_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0x0ac90c257048ef1c3e387c26d4a99bde06894efbcbff862dc1885c3a9319308a | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
06_reviewer_deprecate,deprecateModelCard,rev_b,0x15d34AAf54267DB7D7c367839AAf71A00a2C6A65,PUBLISHER_ROLE,False,execution reverted: AccessControl: account 0x15d34aaf54267db7d7c367839aaf71a00a2c6a65 is missing role 0x0ac90c257048ef1c3e387c26d4a99bde06894efbcbff862dc1885c3a9319308a | execution reverted: AccessControl: account 0x15d34aaf54267db7d7c36783,PASS,
07_outsider_grantRole,grantRole,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEFAULT_ADMIN_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0x0000000000000000000000000000000000000000000000000000000000000000 | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
08_outsider_setIdentityReg,setIdentityRegistry,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEFAULT_ADMIN_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa49807205ce4d355092ef5a8a18f56e8913cf4a201fbe287825b095693c21775 | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
09_outsider_setLineageRegs,setLineageRegistries,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEFAULT_ADMIN_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa49807205ce4d355092ef5a8a18f56e8913cf4a201fbe287825b095693c21775 | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
10_outsider_setChallengeWin,setChallengeWindowSeconds,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,DEFAULT_ADMIN_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa49807205ce4d355092ef5a8a18f56e8913cf4a201fbe287825b095693c21775 | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
11_outsider_setStrictMode,setStrictMode,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,ADMIN_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa49807205ce4d355092ef5a8a18f56e8913cf4a201fbe287825b095693c21775 | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
12_outsider_emergencyPublish,adminEmergencyPublish,outsider,0xa0Ee7A142d267C1f36714E4a8F75612F20a79720,ADMIN_ROLE,False,execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a8f75612f20a79720 is missing role 0xa49807205ce4d355092ef5a8a18f56e8913cf4a201fbe287825b095693c21775 | execution reverted: AccessControl: account 0xa0ee7a142d267c1f36714e4a,PASS,
