label,address,on_chain_bytecode_size,artifact_bytecode_size,bytecode_match,sourcify_status,verdict
SMARTLifecycle router,0xEe74288FFa63f8D1296246555020DAaEd39D9f4d,224,225,True,full_match,PASS
RouterAdmin,0x1052cfe1c87d6cDbdF68445C0d45D596c0F930E3,3766,3767,True,full_match,PASS
RouterIntrospection,0x7BaC7EAF04174692e48174489D8ecd8686113B1D,1845,1846,True,full_match,PASS
LifecycleCore,0x7a89dD7a5e97c388a6deb30E77d2d9A9Ef7D1A8A,22838,23345,False,full_match,FAIL
LifecycleAdmin,0x640FB93b747119C0971057F18edAF924Bd2ac3aA,11916,11917,True,full_match,PASS
LifecycleNFT,0x155B0A7dD352dd7Bedc41AeeE33024B84c182D0d,7950,7951,True,full_match,PASS
LifecycleQuorum,0xb07a7fb5B5BEA0E6623253a0335Feff47dCFdF48,4825,4826,True,full_match,PASS
LifecycleLineage,0x02c87Af18289F9A099f99FD2A263dEff2677c7a6,6167,6168,True,full_match,PASS
SMARTIdentityRegistry,0xd8B65DD93124154ECCF1eE19E539089B28b9eEBa,13039,13040,True,full_match,PASS
SMARTUsernameRegistry,0xeF3f8FAE59928F5eA1Ba2F16c869AA1321E7a8c2,2558,2559,True,full_match,PASS
SMARTNameRegistry,0x33dBa2073dDf06eb63771B919a57D8acfd0882d2,5801,5802,True,full_match,PASS
SMARTVersionRegistry,0xb933DFE26fF2CcbF871655885E05d49efA7e4A33,7500,7501,True,full_match,PASS
SMARTModelCardSBT,0xc02feb491f2519200e27D49A5B075F12a9d12FD1,10540,10541,True,full_match,PASS
ModelCardRegistry,0x6e34779Cb495F4F82e9bB8b6DE4B52D647FAdC18,7064,7065,True,full_match,PASS
SMARTAccountFactory,0xF8bD5Dd89d6BAdE88E2D21943e4Bc73d4895a7f5,11877,11878,True,full_match,PASS
SMARTPaymaster,0xc7534e0300cF96FE945De01b97116323eB7B2dFD,4420,4421,False,full_match,FAIL
SMARTRelayer,0x3D8F67a3C8A0EB96D0121C0027D3d50e70e9f506,6625,6626,True,full_match,PASS
