canonical,description
TechnicalDocumentation,"Comprehensive technical documentation per EU AI Act Annex IV / EU MDR Annex II."
RiskManagementSystem,"Continuous risk management process (EU AI Act Art. 9; EU MDR Annex I 3)."
DataGovernancePolicy,"Training/validation/testing data governance (EU AI Act Art. 10)."
TrainingDataDescription,"Description of training data sources, demographics, OMOP concepts."
ValidationDataDescription,"Description of validation data and external sources."
PerformanceMetrics,"Reported performance: accuracy, AUROC, calibration, with CIs."
ExternallyValidatedMetrics,"Subset of metrics independently validated by a third party."
SubgroupPerformance,"Bias / fairness / subgroup performance breakdown."
LimitationsStatement,"Caveats, known failure modes, out-of-scope use."
IntendedUse,"Statement of intended clinical context, indications, contraindications."
BenefitRiskAssessment,"Benefit–risk analysis with quantitative bounds."
PostMarketSurveillancePlan,"Plan for monitoring system in deployment (EU MDR Art. 83-86)."
PostMarketMonitoringReport,"Periodic report from post-market data."
SeriousIncidentReport,"Mandatory report of a serious incident to authority."
TransparencyInformation,"Information provided to deployers/users (EU AI Act Art. 13)."
HumanOversightProvisions,"Description of human-in-the-loop / oversight controls."
CybersecurityProvisions,"Cyber-resilience measures and disclosures."
ChangeControlPlan,"Predetermined change control / PCCP describing planned modifications."
VersionLog,"Version history of model / documentation with semantic versioning."
ConformityAssessment,"Documentation of conformity-assessment procedure."
DeclarationOfConformity,"Signed declaration that the system meets applicable requirements."
DeviceIdentifier,"UDI-DI / GMDN / device nomenclature record."
TrainingProtocol,"Reproducible training protocol / hyperparameters / random seeds."
TestProtocol,"Test protocol / oracle / acceptance criteria (ISO 29119-11)."
TrustworthinessAssessment,"Trustworthiness analysis (ISO/IEC TR 24028)."
AccessControlPolicy,"Who can read / modify / approve documentation artefacts."
AuditTrail,"Tamper-evident log of state transitions and approvals."
RoleAssignment,"Role-based access / approval roles (Authenticator / Publisher etc.)."
LanguageLocalisation,"Language(s) in which information is provided."
DecisionRecord,"Formal decision document by an authority."
InvestigationReport,"Inspection / investigation findings report."
ElectronicSubmission,"Submission via the EU MDR electronic system / EUDAMED."
ContactInformation,"Single point of contact / liaison details."
DeviceSamples,"Physical device samples provided to authorities."
ChangeNotification,"Notification of substantial / planned modifications."
CorrectiveAction,"Field-safety corrective action / national measure."
GeneratedContentDisclosure,"Disclosure of AI-generated / manipulated content."
Registration,"Registration in the electronic system (e.g. EUDAMED, Annex VIII)."
RegulatorySandbox,"Provisions on regulatory sandboxes."
TemplateForm,"Filled-out template / standardised form."
QualityAssuranceSampling,"Sampling of devices for QA inspection."
Mandate,"Authorisation / mandate document."
SandboxOutcome,"Sandbox exit report / proof of activities."

